AquaCrop 4.0 (June 2012) - Output created on (date) : 26.07.2020   at (time) : 09:52:51
Electrical conductivity of the saturated soil-paste extract (dS/m) at various depths (at center of compartments)

                 at depth (m):      0.05        0.15        0.25        0.35        0.45        0.55        0.65        0.75        0.85        0.95
   Day Month  Year   DAP Stage      ECe1        ECe2        ECe3        ECe4        ECe5        ECe6        ECe7        ECe8        ECe9       ECe10       ECe11       ECe12
    22    10  2011     1    1        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    23    10  2011     2    1        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    24    10  2011     3    1        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    25    10  2011     4    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    26    10  2011     5    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    27    10  2011     6    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    28    10  2011     7    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    29    10  2011     8    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    30    10  2011     9    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    31    10  2011    10    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
     1    11  2011    11    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
     2    11  2011    12    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
     3    11  2011    13    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
     4    11  2011    14    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
     5    11  2011    15    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
     6    11  2011    16    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
     7    11  2011    17    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
     8    11  2011    18    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
     9    11  2011    19    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    10    11  2011    20    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
