AquaCrop 4.0 (June 2012) - Output created on (date) : 26.07.2020   at (time) : 09:52:51
Soil Water Content at various depths (at center of compartments)

                 at depth (m):      0.05        0.15        0.25        0.35        0.45        0.55        0.65        0.75        0.85        0.95
   Day Month  Year   DAP Stage   WC1(vol%)   WC2(vol%)   WC3(vol%)   WC4(vol%)   WC5(vol%)   WC6(vol%)   WC7(vol%)   WC8(vol%)   WC9(vol%)  WC10(vol%)  WC11(vol%)  WC12(vol%)
    22    10  2011     1    1       28.9        20.0        13.0        13.0        13.0        13.0        13.0        13.0        13.0        13.0
    23    10  2011     2    1       13.0        13.6        13.7        13.6        13.5        13.4        13.3        13.3        13.3        13.2
    24    10  2011     3    1       12.4        13.1        13.1        13.1        13.1        13.1        13.0        13.0        13.0        13.0
    25    10  2011     4    2       11.9        13.0        13.0        13.0        13.0        13.0        13.0        13.0        13.0        13.0
    26    10  2011     5    2       11.4        13.0        13.0        13.0        13.0        13.0        13.0        13.0        13.0        13.0
    27    10  2011     6    2       10.8        13.0        13.0        13.0        13.0        13.0        13.0        13.0        13.0        13.0
    28    10  2011     7    2       10.3        13.0        13.0        13.0        13.0        13.0        13.0        13.0        13.0        13.0
    29    10  2011     8    2        9.8        13.0        13.0        13.0        13.0        13.0        13.0        13.0        13.0        13.0
    30    10  2011     9    2        9.1        13.0        13.0        13.0        13.0        13.0        13.0        13.0        13.0        13.0
    31    10  2011    10    2       30.3        16.1        13.0        13.0        13.0        13.0        13.0        13.0        13.0        13.0
     1    11  2011    11    2       10.3        13.5        13.7        13.5        13.4        13.4        13.3        13.3        13.2        13.2
     2    11  2011    12    2        9.3        13.1        13.1        13.1        13.0        13.0        13.0        13.0        13.0        13.0
     3    11  2011    13    2        8.2        13.0        13.0        13.0        13.0        13.0        13.0        13.0        13.0        13.0
     4    11  2011    14    2        7.0        13.0        13.0        13.0        13.0        13.0        13.0        13.0        13.0        13.0
     5    11  2011    15    2        5.9        13.0        13.0        13.0        13.0        13.0        13.0        13.0        13.0        13.0
     6    11  2011    16    2        5.3        12.6        13.0        13.0        13.0        13.0        13.0        13.0        13.0        13.0
     7    11  2011    17    2        4.9        12.0        13.0        13.0        13.0        13.0        13.0        13.0        13.0        13.0
     8    11  2011    18    2        4.3        11.6        13.0        13.0        13.0        13.0        13.0        13.0        13.0        13.0
     9    11  2011    19    2        4.0        11.2        13.0        13.0        13.0        13.0        13.0        13.0        13.0        13.0
    10    11  2011    20    2       31.4        11.2        13.0        13.0        13.0        13.0        13.0        13.0        13.0        13.0
    11    11  2011    21    2        9.4        13.6        13.6        13.5        13.4        13.3        13.3        13.2        13.2        13.2
    12    11  2011    22    2        7.3        13.1        13.1        13.1        13.0        13.0        13.0        13.0        13.0        13.0
    13    11  2011    23    2        5.7        13.0        13.0        13.0        13.0        13.0        13.0        13.0        13.0        13.0
    14    11  2011    24    2        5.3        12.1        13.0        13.0        13.0        13.0        13.0        13.0        13.0        13.0
